Team_Name,Creation_Date,Team_Lead_Arrival_Date,Current_Team_Lead,Company_Name
This column represents the name of each team within the company.,This column represents the date when each team was created within the company.,This column represents the arrival date of the current team lead.,This column represents the name of the current team lead.,This column represents the name of the company where the team exists.
Finance,2010-04-20,2013-08-07,Mark Williams,Elexion Automotive
Product Development,2013-09-05,2015-10-11,Sarah Johnson,Elexion Automotive
Customer Support,2014-11-01,2016-10-25,James Brown,Elexion Automotive
Customer Experience,2015-05-20,2016-05-20,Ryan Thompson,Elexion Automotive
Marketing,2012-07-15,2014-02-01,Jane Doe,Elexion Automotive
Logistics,2011-08-20,2013-11-11,Patricia Taylor,Elexion Automotive
IT,2013-03-01,2016-04-01,Robert Miller,Elexion Automotive
Legal,2010-10-15,2012-09-15,Michael Thomas,Elexion Automotive
Operations,2012-06-15,2015-03-20,Lisa Wilson,Elexion Automotive
Human Resources,2011-02-15,2014-12-20,Emily Davis,Elexion Automotive
Sales,2014-01-01,2015-07-15,John Smith,Elexion Automotive
